function,category,coverage,current_entry,documented_return,documented_scope,remaining_work,evidence_urls
TDAlphaTest,輸出／宿主流程,編譯器自動呼叫,MAT pixel_out,void,MAT P,已在產碼流程使用；若補手動入口須避免自動流程重複執行。,https://derivative.ca/UserGuide/Write_a_GLSL_MAT
TDAttenuateLight,MAT 光照／陰影,缺獨立入口,,float,MAT P,補原生燈光場景測試；TDPBRResult／TDPhongResult 尚未登記，struct 與 inout 簽名要核對。,https://derivative.ca/UserGuide/Write_a_GLSL_MAT
TDAttrib_<name>,來源,部分支援,attribute,依配置,MAT V,現行 emitter 僅傳 arrayIndex；尚無指定其他 vertexIndex 的入口，TDTexAttrib 家族另列。,https://derivative.ca/UserGuide/Write_a_GLSL_MAT ; https://derivative.ca/UserGuide/GLSL_MAT
TDAverage,數值與矩陣,缺獨立入口,,float,M／T；stage 依原生 overload,沿用現有純量／矩陣型別；補節點定義、overload 與原生編譯／數值驗證。,https://derivative.ca/UserGuide/Write_a_GLSL_MAT ; https://derivative.ca/UserGuide/Write_a_GLSL_TOP
TDAxisAngleToQuaternion,Quaternion,缺獨立入口,,vec4,M／T；stage 依原生 overload,以現有 vec4／mat3 表達；明定分量及角度約定，不必先新增全域 quaternion 型別。,https://derivative.ca/UserGuide/Write_a_GLSL_MAT ; https://derivative.ca/UserGuide/Write_a_GLSL_TOP
TDBicubicInterpolation,取樣與座標映射,缺獨立入口,,vec4,M／T；stage 依原生 overload,分開純座標運算與 sampler overload；檢查 2D／3D 資源取得及 Stage。,https://derivative.ca/UserGuide/Write_a_GLSL_MAT ; https://derivative.ca/UserGuide/Write_a_GLSL_TOP
TDBoneMat,來源,已有來源入口,builtin_source:TDBoneMat,mat4,MAT V,無資料運算輸入或只有 index／layer；全部 overload／Stage 仍須另核對。,https://derivative.ca/UserGuide/Write_a_GLSL_MAT ; ../../src/core/sgrape_core.py
TDBufferLength_<name>,來源,已有家族入口,pop_buffer.length,uint（文件標 const）,TOP／MAT，Buffers 配置後,家族中使用者命名不逐一算函式；資料索引歸來源。,https://derivative.ca/UserGuide/Write_a_GLSL_TOP ; https://derivative.ca/UserGuide/Write_a_GLSL_MAT
TDBuffer_<name>,來源,已有家族入口,pop_buffer,依配置,TOP／MAT，Buffers 配置後,家族中使用者命名不逐一算函式；資料索引歸來源。,https://derivative.ca/UserGuide/Write_a_GLSL_TOP ; https://derivative.ca/UserGuide/Write_a_GLSL_MAT ; https://derivative.ca/UserGuide/GLSL_TOP
TDCameraIndex,來源,已有來源入口,builtin_source:TDCameraIndex,int,MAT V,無資料運算輸入或只有 index／layer；全部 overload／Stage 仍須另核對。,https://derivative.ca/UserGuide/Write_a_GLSL_MAT ; ../../src/core/sgrape_core.py
TDCheckDiscard,輸出／宿主流程,編譯器自動呼叫,MAT pixel main,void,MAT P,已在產碼流程使用；若補手動入口須避免自動流程重複執行。,https://derivative.ca/UserGuide/Write_a_GLSL_MAT
TDCheckOrderIndTrans,宿主版本關係待核對,版本／既有流程關係待核對,,void,MAT P,目前指南仍列此入口；先核對目標 TD build 及與現用 TDCheckDiscard 的關係，不標成已棄用或重複插入。,https://derivative.ca/UserGuide/Write_a_GLSL_MAT
TDCompareShadowTexture,MAT 光照／陰影,缺獨立入口,,float,MAT P（指南所在範圍）,補原生燈光場景測試；TDPBRResult／TDPhongResult 尚未登記，struct 與 inout 簽名要核對。,https://derivative.ca/UserGuide/Write_a_GLSL_MAT
TDCompareShadowTextureProj,MAT 光照／陰影,缺獨立入口,,float,MAT P（指南所在範圍）,補原生燈光場景測試；TDPBRResult／TDPhongResult 尚未登記，struct 與 inout 簽名要核對。,https://derivative.ca/UserGuide/Write_a_GLSL_MAT
TDConeLookup,MAT 光照／陰影,缺獨立入口,,float,MAT P（指南所在範圍）,補原生燈光場景測試；TDPBRResult／TDPhongResult 尚未登記，struct 與 inout 簽名要核對。,https://derivative.ca/UserGuide/Write_a_GLSL_MAT
TDCreateRotMatrix,數值與矩陣,缺獨立入口,,mat3,M／T；stage 依原生 overload,沿用現有純量／矩陣型別；補節點定義、overload 與原生編譯／數值驗證。,https://derivative.ca/UserGuide/Write_a_GLSL_MAT ; https://derivative.ca/UserGuide/Write_a_GLSL_TOP
TDCreateTBNMatrix,MAT 幾何／Instancing,缺獨立入口,,mat3,M／T；stage 依原生 overload,逐項確認 Vertex／Pixel 可用性、座標語意與 Instancing 場景；跨 Stage 需要既有或新增的傳遞契約。,https://derivative.ca/UserGuide/Write_a_GLSL_MAT ; https://derivative.ca/UserGuide/Write_a_GLSL_TOP
TDCubeMapToEquirectangular,取樣與座標映射,缺獨立入口,,vec2,M／T；stage 依原生 overload,分開純座標運算與 sampler overload；檢查 2D／3D 資源取得及 Stage。,https://derivative.ca/UserGuide/Write_a_GLSL_MAT ; https://derivative.ca/UserGuide/Write_a_GLSL_TOP
TDDeform,運算,已有節點,deform,vec3／vec4,MAT V；依 overload,按函式名稱已有入口；不是全部原生 overload／Stage 的完成保證。,https://derivative.ca/UserGuide/Write_a_GLSL_MAT
TDDeformNorm,MAT 幾何／Instancing,缺獨立入口,,vec3,MAT V；依 overload,逐項確認 Vertex／Pixel 可用性、座標語意與 Instancing 場景；跨 Stage 需要既有或新增的傳遞契約。,https://derivative.ca/UserGuide/Write_a_GLSL_MAT
TDDeformVec,MAT 幾何／Instancing,缺獨立入口,,vec3,MAT V；依 overload,逐項確認 Vertex／Pixel 可用性、座標語意與 Instancing 場景；跨 Stage 需要既有或新增的傳遞契約。,https://derivative.ca/UserGuide/Write_a_GLSL_MAT
TDDither,輸出／宿主流程,編譯器自動呼叫,MAT color output 0,vec4,M／T；stage 依原生 overload,已在產碼流程使用；若補手動入口須避免自動流程重複執行。,https://derivative.ca/UserGuide/Write_a_GLSL_MAT ; https://derivative.ca/UserGuide/Write_a_GLSL_TOP
TDEnvLightTextureLod,MAT 光照／陰影,缺獨立入口,,vec4,MAT P（指南所在範圍）,補原生燈光場景測試；TDPBRResult／TDPhongResult 尚未登記，struct 與 inout 簽名要核對。,https://derivative.ca/UserGuide/Write_a_GLSL_MAT
TDEnvLightingPBR,MAT 光照／陰影,缺獨立入口,,TDPBRResult,MAT P,補原生燈光場景測試；TDPBRResult／TDPhongResult 尚未登記，struct 與 inout 簽名要核對。,https://derivative.ca/UserGuide/Write_a_GLSL_MAT
