id,group,td_name,common_name,python,glsl,type,scope,kind,status,note,evidence,evidence_urls
S001,01 時間與日期｜Common Sources 候選,absTime.seconds,Absolute Time,absTime.seconds,,float,TOP／MAT，CPU → Uniform,來源,已有預置,秒；TD 全域播放時間，會隨 Power／root timeline 暫停。不是電腦開機時間或牆鐘。,A P,https://docs.derivative.ca/AbsTime_Class ; ../../src/core/sgrape_sources.py
S002,01 時間與日期｜Common Sources 候選,absTime.frame,Absolute Frame,absTime.frame,,float,TOP／MAT，CPU → Uniform,來源,已有預置,原生 float；是時間幀數，不是每個 Shader 真正完成的渲染次數。,A P,https://docs.derivative.ca/AbsTime_Class ; ../../src/core/sgrape_sources.py
S003,01 時間與日期｜Common Sources 候選,absTime.stepSeconds,Delta Time,absTime.stepSeconds,,float,TOP／MAT，CPU → Uniform,來源,待擴充,TD 前後全域 frame 起點的秒差；應標註時鐘，不能保證等於此 TOP 兩次 cook 間隔。,A P,https://docs.derivative.ca/AbsTime_Class ; ../../src/core/sgrape_sources.py
S004,01 時間與日期｜Common Sources 候選,absTime.step,Frame Step,absTime.step,,float,TOP／MAT，CPU → Uniform,來源,待擴充,TD 全域時間前進的幀數，可能大於 1；不是 FPS。,A P,https://docs.derivative.ca/AbsTime_Class ; ../../src/core/sgrape_sources.py
S005,01 時間與日期｜Common Sources 候選,me.time.seconds,Timeline Time,me.time.seconds,,float,TOP／MAT，CPU → Uniform,來源,已有預置,當前 OP 所屬時間軸；保留循環、跳轉、暫停語意。,TC OP P,https://derivative.ca/UserGuide/TimeCOMP_Class ; https://derivative.ca/UserGuide/OP_Class ; ../../src/core/sgrape_sources.py
S006,01 時間與日期｜Common Sources 候選,me.time.frame,Timeline Frame,me.time.frame,,float,TOP／MAT，CPU → Uniform,來源,已有預置,原生 float，不能未經決定就轉為零起算整數渲染計數。,TC OP P,https://derivative.ca/UserGuide/TimeCOMP_Class ; https://derivative.ca/UserGuide/OP_Class ; ../../src/core/sgrape_sources.py
S007,01 時間與日期｜Common Sources 候選,me.time.rate,Timeline Rate,me.time.rate,,float,TOP／MAT，CPU → Uniform,來源,待擴充,時間軸設定速率，不代表實際顯示 FPS。,TC OP P,https://derivative.ca/UserGuide/TimeCOMP_Class ; https://derivative.ca/UserGuide/OP_Class ; ../../src/core/sgrape_sources.py
S008,01 時間與日期｜Common Sources 候選,me.time.play,Timeline Playing,me.time.play,,bool,TOP／MAT，CPU → Uniform,來源,待擴充,播放狀態；不是 Shader 正在 cook 的證據。,TC OP P,https://derivative.ca/UserGuide/TimeCOMP_Class ; https://derivative.ca/UserGuide/OP_Class ; ../../src/core/sgrape_sources.py
S009,01 時間與日期｜Common Sources 候選,me.time.fraction,,me.time.fraction,,float,TOP／MAT，CPU → Uniform,來源,待擴充,TD 定義 frame/end；不冒充 (frame-start)/(end-start) 的一般進度。,TC OP P,https://derivative.ca/UserGuide/TimeCOMP_Class ; https://derivative.ca/UserGuide/OP_Class ; ../../src/core/sgrape_sources.py
S010,01 時間與日期｜Common Sources 候選,me.time.start,Timeline Start,me.time.start,,float,TOP／MAT，CPU → Uniform,來源,待擴充,主範圍起點，單位幀。,TC OP P,https://derivative.ca/UserGuide/TimeCOMP_Class ; https://derivative.ca/UserGuide/OP_Class ; ../../src/core/sgrape_sources.py
